,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
16,Belgium,Data Analyst,"2,000-2,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
32,United States of America,Data Analyst,unknown, R,RStudio ,Ggplot / ggplot2 ,unknown,Nonbinary,unknown,younger
33,Egypt,Data Analyst,"7,500-9,999",Python," Notepad++,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
46,China,Data Analyst,0-999,"Python, SQL, C, C++, Java, Javascript, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,MATLAB ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
52,South Africa,Data Analyst,"25,000-29,999"," R, SQL","RStudio ,Jupyter Notebook","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
66,China,Data Analyst,0-999,Python,"PyCharm , Spyder", None,Analyze and understand data to influence product or business decisions,Prefer not to say,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
102,India,Data Analyst,"1,000-1,999",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
106,India,Data Analyst,unknown," SQL, C++", None, Other,unknown,Man,unknown,middle
108,Israel,Data Analyst,"100,000-124,999","Python, SQL","Jupyter Notebook, Other"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
109,India,Data Analyst,"1,000-1,999"," R, SQL, C++","RStudio ,Jupyter Notebook",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
142,Colombia,Data Analyst,0-999, SQL,"Visual Studio ,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
150,United States of America,Data Analyst,"100,000-124,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Local development environments (RStudio, JupyterLab, etc.)",older
185,Brazil,Data Analyst,"5,000-7,499","Python, SQL, C, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",younger
220,India,Data Analyst,"10,000-14,999","Python, SQL"," Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
247,Ukraine,Data Analyst,0-999,"Python, SQL, C++, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Man,"Advanced statistical software (SPSS, SAS, etc.)",younger
257,Pakistan,Data Analyst,"2,000-2,999", SQL,Jupyter Notebook, None,Analyze and understand data to influence product or business decisions,Woman,unknown,younger
263,India,Data Analyst,"5,000-7,499","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder"," Matplotlib ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
265,Other,Data Analyst,unknown,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook", Matplotlib ,unknown,Woman,unknown,middle
269,Pakistan,Data Analyst,0-999,Python, Spyder,"Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,unknown,younger
270,India,Data Analyst,0-999,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Do research that advances the state of the art of machine learning",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
282,Canada,Data Analyst,0-999,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
284,Nigeria,Data Analyst,"10,000-14,999","Python, R, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,unknown,middle
309,Tunisia,Data Analyst,"7,500-9,999", C++,Visual Studio , None,None of these activities are an important part of my role at work,Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
311,China,Data Analyst,"15,000-19,999",Python,"PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
340,Italy,Data Analyst,"1,000-1,999","Python, R, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,PyCharm , Spyder, Sublime Text,Jupyter Notebook","Ggplot / ggplot2 ,Shiny ",Build prototypes to explore applying machine learning to new areas,Woman,"Advanced statistical software (SPSS, SAS, etc.)",younger
375,India,Data Analyst,"10,000-14,999","Python, SQL, Other",Jupyter Notebook," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,"Advanced statistical software (SPSS, SAS, etc.)",younger
396,Spain,Data Analyst,"60,000-69,999", R,RStudio ,Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
405,Colombia,Data Analyst,"5,000-7,499","Python, SQL, Java, Javascript",Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
430,United States of America,Data Analyst,"25,000-29,999"," R, SQL",RStudio , None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
436,Indonesia,Data Analyst,"5,000-7,499","Python, SQL, C++","Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
440,Sri Lanka,Data Analyst,"1,000-1,999","Python, SQL, Javascript, Other","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
