,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
16,Belgium,Data Analyst,"2,000-2,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
32,United States of America,Data Analyst,unknown, R,RStudio ,Ggplot / ggplot2 ,unknown,Nonbinary,unknown,joven
33,Egypt,Data Analyst,"7,500-9,999",Python," Notepad++,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
46,China,Data Analyst,0-999,"Python, SQL, C, C++, Java, Javascript, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,MATLAB ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
52,South Africa,Data Analyst,"25,000-29,999"," R, SQL","RStudio ,Jupyter Notebook","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
66,China,Data Analyst,0-999,Python,"PyCharm , Spyder", None,Analyze and understand data to influence product or business decisions,Prefer not to say,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
102,India,Data Analyst,"1,000-1,999",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
106,India,Data Analyst,unknown," SQL, C++", None, Other,unknown,Man,unknown,mediana
108,Israel,Data Analyst,"100,000-124,999","Python, SQL","Jupyter Notebook, Other"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
109,India,Data Analyst,"1,000-1,999"," R, SQL, C++","RStudio ,Jupyter Notebook",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
142,Colombia,Data Analyst,0-999, SQL,"Visual Studio ,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
150,United States of America,Data Analyst,"100,000-124,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Local development environments (RStudio, JupyterLab, etc.)",mayor
185,Brazil,Data Analyst,"5,000-7,499","Python, SQL, C, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",joven
220,India,Data Analyst,"10,000-14,999","Python, SQL"," Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
247,Ukraine,Data Analyst,0-999,"Python, SQL, C++, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Man,"Advanced statistical software (SPSS, SAS, etc.)",joven
257,Pakistan,Data Analyst,"2,000-2,999", SQL,Jupyter Notebook, None,Analyze and understand data to influence product or business decisions,Woman,unknown,joven
263,India,Data Analyst,"5,000-7,499","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder"," Matplotlib ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
